date,jobs,layoffs,quits,sales,wages
1/1/16,2877,2339,281,359013,22.51
2/1/16,2518,1470,258,362439,22.57
3/1/16,2653,1503,254,424203,22.48
4/1/16,3460,1597,326,408902,22.53
5/1/16,3043,1609,345,408799,22.6
6/1/16,2727,2010,317,428819,22.34
7/1/16,3264,2169,354,398302,22.41
8/1/16,3110,2075,399,424860,22.54
9/1/16,2937,1884,350,431329,22.6
10/1/16,3515,1868,311,425072,22.69
11/1/16,2956,1867,266,412464,22.69
12/1/16,2616,2171,265,427075,22.76
1/1/17,3098,2296,267,403211,23.16
2/1/17,3086,1392,249,407684,22.99
3/1/17,3236,1402,283,485327,22.9
4/1/17,3580,1644,314,456422,22.96
5/1/17,3226,1791,349,466496,23.05
6/1/17,3374,1844,328,484994,22.81
7/1/17,3807,1874,341,445432,22.94
8/1/17,3445,2021,425,484300,22.85
9/1/17,3794,1996,355,478009,23.05
10/1/17,3945,1917,326,469514,23.3
11/1/17,3291,1906,231,453233,23.15
12/1/17,3274,2051,300,457272,23.21
1/1/18,3864,2195,323,435284,23.55
2/1/18,3476,1490,285,454151,23.4
3/1/18,3953,1407,285,502968,23.39
4/1/18,4196,1745,347,472688,23.61
5/1/18,3890,1877,346,492665,23.32
6/1/18,3804,1826,343,487714,23.26
7/1/18,3932,1695,365,453282,23.48
8/1/18,3937,2063,424,493640,23.26
9/1/18,3912,1923,354,482320,23.66
10/1/18,4128,1978,330,491603,23.52
11/1/18,3575,1902,272,467096,23.58
12/1/18,3404,1922,287,463317,23.84
1/1/19,3839,2101,408,447948,23.87
2/1/19,3843,1291,298,453770,23.9
3/1/19,4051,1413,289,501722,23.83
4/1/19,4421,1662,369,481945,23.92
5/1/19,4197,1751,332,502208,23.79
6/1/19,4055,1714,331,497211,23.92
7/1/19,4097,1684,373,473078,23.8
8/1/19,4214,1985,513,502793,23.79
9/1/19,4175,2052,431,497700,24.16
10/1/19,4606,1729,394,502769,24.04
11/1/19,3768,1581,357,475613,24.11
12/1/19,3520,1996,318,477370,24.3
1/1/20,4026,2275,420,452212,24.35
2/1/20,4216,1364,348,457808,24.58
3/1/20,4329,1375,373,513946,24.49
4/1/20,5070,1658,427,496788,24.4
5/1/20,4805,1653,447,506820,24.3
6/1/20,4882,1711,437,517141,24.42
7/1/20,5117,1734,477,488066,24.3
8/1/20,5484,1847,516,506609,24.32
9/1/20,4976,1876,446,513098,24.5
10/1/20,5412,1892,455,505475,24.52
11/1/20,4463,1682,391,458398,24.78
12/1/20,4467,2080,404,472646,24.58
1/1/21,5244,2251,462,424104,24.87
2/1/21,5268,1343,341,431113,25.05
3/1/21,5159,1608,424,493365,25.04
4/1/21,6172,1717,446,469899,24.94
5/1/21,5612,1663,465,469475,24.88
6/1/21,5142,1785,462,496586,24.76
7/1/21,6391,1661,457,454788,24.83
8/1/21,5623,1977,565,470575,25.04
9/1/21,5577,2110,481,478931,25.05
10/1/21,6206,1922,469,466724,25.14
11/1/21,5272,1716,436,437157,25.37
12/1/21,5134,2026,454,440316,25.2
1/1/22,5894,2256,491,399750,25.5
2/1/22,5549,1501,394,425230,25.48
3/1/22,6058,1549,444,473035,25.49
4/1/22,6362,1627,465,441341,25.59
5/1/22,5773,1741,469,452785,25.67
6/1/22,5624,1718,460,475935,25.41
7/1/22,6407,1702,484,422080,25.52
8/1/22,5854,2046,585,465534,25.5
9/1/22,5962,1730,494,468036,25.73
10/1/22,5972,1709,508,452756,26.02
11/1/22,5536,1710,415,437278,25.84
12/1/22,5287,1951,376,449836,25.87
1/1/23,5529,2193,483,418459,26.31
2/1/23,5670,1321,423,424409,26.17
3/1/23,5742,1454,475,487759,26.14
4/1/23,6647,1551,433,445296,26.42
5/1/23,5839,1698,510,473532,26.13
6/1/23,6219,1905,471,486172,26.03
7/1/23,6658,1809,495,434979,26.35
8/1/23,6467,2104,571,483158,26.17
9/1/23,6439,2003,473,480032,26.46
10/1/23,6683,1917,477,479853,26.62
11/1/23,5832,1717,385,468937,26.47
12/1/23,5683,1934,419,466209,26.58
1/1/24,6568,2418,444,448935,26.86
2/1/24,6269,1368,364,449731,26.84
3/1/24,6744,1467,427,512841,26.87
4/1/24,7410,1593,489,483195,27.16
5/1/24,7015,1663,524,510525,26.9
6/1/24,7195,1765,516,521626,26.79
7/1/24,7609,1752,546,477789,27.1
8/1/24,7436,1997,630,522059,27
9/1/24,7504,1912,575,509310,27.45
10/1/24,7665,1884,558,518885,27.31
11/1/24,7086,1897,439,486205,27.35
12/1/24,6744,2091,423,479291,27.69
